SalePrice,Street,Utilities,PoolQC,3SsnPorch,MSSubClass,Electrical,Condition2,MiscFeature,BsmtFinSF2,Foundation,Exterior1st,MasVnrArea,RoofStyle,MiscVal,MasVnrType,BsmtFinType2,LowQualFinSF,BsmtFinType1,YrSold,EnclosedPorch,Exterior2nd,GarageCond,Alley,LotConfig,MSZoning,OverallCond,GrLivArea,OverallQual,CentralAir,GarageCars
11.890676734510874,1.0,1.0,0.0,0.0,0.4117647058823529,1.0,1.0,1.0,0.0,0.5,0.4,0.0,0.0,0.0,0.25,0.8333333333333333,0.0,0.6666666666666666,0.5,0.0,0.30000000000000004,0.0,1.0,0.0,0.75,0.75,0.6668446197936689,0.4444444444444445,1.0,0.0
11.573550086786664,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.0,0.25,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.3804347826086957,0.30000000000000004,0.0,0.0,0.0,0.75,0.75,0.4791025676511005,0.3333333333333333,0.0,0.0
12.013640144985489,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.8333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.4834497839991818,0.6666666666666665,1.0,0.5
12.339291489316395,1.0,1.0,0.0,0.3858267716535433,0.2352941176470588,1.0,1.0,1.0,0.0,0.5,0.7000000000000001,0.2125,0.0,0.0,0.5,0.8333333333333333,0.0,1.0,0.25,0.0,0.7000000000000001,1.0,1.0,0.0,0.75,0.625,0.6299304512111092,0.6666666666666665,1.0,0.5
12.170445467887022,1.0,1.0,0.0,0.0,0.2352941176470588,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.8333333333333333,0.0,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.552640470862563,0.5555555555555556,1.0,0.5
12.404923504275338,1.0,1.0,0.0,0.0,0.2352941176470588,1.0,1.0,1.0,0.0,1.0,1.0,0.025,0.0,0.0,0.5,0.8333333333333333,0.0,1.0,0.75,0.0,1.0,1.0,1.0,0.25,0.75,0.5,0.6425532076397964,0.5555555555555556,1.0,0.5
11.982616545377665,1.0,1.0,0.0,0.0,0.3529411764705882,1.0,1.0,1.0,0.08683853459972862,0.5,1.0,0.654375,0.0,0.0,0.5,0.16666666666666666,0.0,0.6666666666666666,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.5,0.4171124391040273,0.4444444444444445,1.0,0.5
11.686878772093667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.06512890094979648,0.5,0.4,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.3333333333333333,0.25,0.0,0.30000000000000004,1.0,1.0,0.0,0.75,0.75,0.3836569300489421,0.4444444444444445,1.0,0.25
11.982929094215965,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.6000000000000001,0.265625,1.0,0.04516129032258065,0.5,0.8333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,1.0,0.0,0.75,0.625,0.4671475895159283,0.5555555555555556,1.0,0.25
11.898187865760873,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.25,0.8333333333333333,0.0,0.6666666666666666,0.25,0.0,1.0,0.0,1.0,0.0,0.75,0.5,0.42801766300538,0.4444444444444445,1.0,0.0
